Nombre completo;Teléfono;Correo electrónico;Vendedor;Actividades;Ciudad;País
Proveedor 1;+502 99231658;proveedor1@correo.com;;;Guatemala;Guatemala 
Proveedor 10;+502 63256102;proveedor10@correo.com;;;Antigua;México
Proveedor 11;+502 58012213;proveedor11@correo.com;;;Guatemala;España
Proveedor 12;+502 34408518;proveedor12@correo.com;;;Mixco;Guatemala 
Proveedor 13;+502 17421519;proveedor13@correo.com;;;Mixco;México
Proveedor 14;+502 64350530;proveedor14@correo.com;;;Guatemala;México
Proveedor 15;+502 11616863;proveedor15@correo.com;;;Mixco;Guatemala 
Proveedor 2;+502 58851690;proveedor2@correo.com;;;Mixco;España
Proveedor 3;+502 43423246;proveedor3@correo.com;;;Mixco;Guatemala 
Proveedor 4;+502 91683594;proveedor4@correo.com;;;Mixco;Guatemala 
Proveedor 5;+502 66878600;proveedor5@correo.com;;;Guatemala;Estados Unidos
Proveedor 6;+502 44987966;proveedor6@correo.com;;;Guatemala;Guatemala 
Proveedor 7;+502 48429731;proveedor7@correo.com;;;Antigua;México
Proveedor 8;+502 64483524;proveedor8@correo.com;;;Antigua;Guatemala 
Proveedor 9;+502 22393374;proveedor9@correo.com;;;Mixco;España
