Actividades;Correo de trabajo;Departamento;Gerente;Nombre del empleado;Puesto de trabajo;Siguiente fecha límite de la actividad;Teléfono laboral
;javierposadas0o@gmail.com;Administration;;Administrator;;;
;;Jurídico;;Jurídico - 04163187117;;;
;;Jurídico;;Jurídico - 097-147-6433x3426;;;
;;Jurídico;;Jurídico - 300-467-4496x98272;;;
;;Jurídico;;Jurídico - 302.738.6799x701;;;
;;Jurídico;;Jurídico - 416.408.9695;;;
;;Mercadeo;;Mercadeo - (605)602-6040;;;
;;Mercadeo;;Mercadeo - (797)395-2981;;;
;;Mercadeo;;Mercadeo - +01(8)7365170096;;;
;;Mercadeo;;Mercadeo - 07728175540;;;
;;Mercadeo;;Mercadeo - 272-083-2624;;;
;;Seguridad;;Seguridad - (589)490-6056x677;;;
;;Seguridad;;Seguridad - 033-039-8772x643;;;
;;Seguridad;;Seguridad - 05319437836;;;
;;Seguridad;;Seguridad - 372.751.9798;;;
;;Seguridad;;Seguridad - 888-144-7960;;;
;;TI;;TI - (852)417-2734x070;;;
;;TI;;TI - (937)959-9158x5770;;;
;;TI;;TI - (997)565-4193;;;
;;TI;;TI - 024-350-5773x47702;;;
;;TI;;TI - 1-666-684-0365x579;;;
;;TI;;TI - 1-678-127-8732;;;
;;TI;;TI - 113.228.6096;;;
;;TI;;TI - 194-318-7612;;;
;;TI;;TI - 664.897.4961x427;;;
;;TI;;TI - 767-723-3985;;;
;;Ventas;;Vendedor Ana;Analista de Ventas;;
;;Ventas;;Vendedor Andrés;Analista de Ventas;;
;;Ventas;;Vendedor Carlos;Analista de Ventas;;
;;Ventas;;Vendedor José;Analista de Ventas;;
;;Ventas;;Vendedor Lucía;Analista de Ventas;;
;;Ventas;;Vendedor Luis;Analista de Ventas;;
;;Ventas;;Vendedor María;Analista de Ventas;;
;;Ventas;;Vendedor Paula;Analista de Ventas;;
;;Ventas;;Vendedor Pedro;Analista de Ventas;;
;;Ventas;;Vendedor Sofía;Analista de Ventas;;
