Referencia de la orden;Fecha de creación;Cliente;Vendedor;Actividades;Total;Estado
ORD-3089;2025-04-22 19:30:01;Melissa Ross;Administrator;;43.66;Orden de venta
ORD-3082;2025-04-22 19:30:01;Colleen Jones;Administrator;;40.00;Orden de venta
ORD-3090;2025-04-22 19:30:01;Lee-West;Administrator;;14.18;Orden de venta
ORD-3068;2025-04-22 19:30:01;Chase and Sons;Administrator;;28.89;Orden de venta
ORD-3064;2025-04-22 19:30:01;Joshua Watkins;Administrator;;25.08;Orden de venta
ORD-3096;2025-04-22 19:30:01;Mary Landry MD;Administrator;;28.45;Orden de venta
ORD-3021;2025-04-22 19:30:01;David Bryant;Administrator;;31.37;Orden de venta
ORD-3099;2025-04-22 19:30:01;Ann Vang;Administrator;;28.77;Orden de venta
ORD-3017;2025-04-22 19:30:01;Mary Coleman;Administrator;;7.61;Orden de venta
ORD-3083;2025-04-22 19:30:01;Catherine Miles;Administrator;;4.50;Orden de venta
ORD-3065;2025-04-22 19:30:01;Jennifer Gregory;Administrator;;45.61;Orden de venta
ORD-3055;2025-04-22 19:30:01;Hill-Clark;Administrator;;6.61;Orden de venta
ORD-3045;2025-04-22 19:30:01;Jennifer Gregory;Administrator;;41.21;Orden de venta
ORD-3049;2025-04-22 19:30:01;Amy Anderson DDS;Administrator;;17.60;Orden de venta
ORD-3047;2025-04-22 19:30:01;Daniel Peterson;Administrator;;26.29;Orden de venta
ORD-3008;2025-04-22 19:30:01;Karen Forbes;Administrator;;43.37;Orden de venta
ORD-3006;2025-04-22 19:30:01;Harrison and Sons;Administrator;;31.33;Orden de venta
ORD-3085;2025-04-22 19:30:01;Martin PLC;Administrator;;41.21;Orden de venta
ORD-3080;2025-04-22 19:30:01;Candice Baker;Administrator;;22.93;Orden de venta
ORD-3056;2025-04-22 19:30:01;Edward Brown;Administrator;;22.36;Orden de venta
ORD-3031;2025-04-22 19:30:01;Daniel Peterson;Administrator;;5.03;Orden de venta
